Dip dir,Dip,Head,Tail,Lag distance,X,Y,Z,Average distance,Spatial function value,Spatial function type,Mean head,Mean tail,Variance head,Variance tail,Number of pairs,Dir ID,Lag
-5.0,-85.0,Primary,Primary,40.0,-0.3038449452968254,3.4729636206610315,-39.84778791776003,0.0,,4,0.0,0.0,0.0,0.0,0,0,10.0
5.0,-85.0,Primary,Primary,0.0,0.0,0.0,-0.0,0.0,,4,4.350428571428572,4.350428571428572,44.92428553061225,44.92428553061225,140,1,0.0
5.0,-85.0,Primary,Primary,2.0,0.015192247264841268,0.17364818103305157,-1.9923893958880017,0.0,,4,0.0,0.0,0.0,0.0,0,1,0.5
5.0,-85.0,Primary,Primary,4.0,0.030384494529682535,0.34729636206610315,-3.9847787917760034,0.0,,4,0.0,0.0,0.0,0.0,0,1,1.0
5.0,-85.0,Primary,Primary,8.0,0.06076898905936507,0.6945927241322063,-7.969557583552007,0.0,,4,0.0,0.0,0.0,0.0,0,1,2.0
5.0,-85.0,Primary,Primary,12.0,0.09115348358904761,1.0418890861983094,-11.95433637532801,0.0,,4,0.0,0.0,0.0,0.0,0,1,3.0
5.0,-85.0,Primary,Primary,16.0,0.12153797811873014,1.3891854482644126,-15.939115167104013,0.0,,4,0.0,0.0,0.0,0.0,0,1,4.0
5.0,-85.0,Primary,Primary,20.0,0.1519224726484127,1.7364818103305157,-19.923893958880015,0.0,,4,0.0,0.0,0.0,0.0,0,1,5.0
5.0,-85.0,Primary,Primary,24.0,0.18230696717809522,2.083778172396619,-23.90867275065602,0.0,,4,0.0,0.0,0.0,0.0,0,1,6.0
5.0,-85.0,Primary,Primary,28.0,0.21269146170777775,2.431074534462722,-27.893451542432025,0.0,,4,0.0,0.0,0.0,0.0,0,1,7.0
5.0,-85.0,Primary,Primary,32.0,0.24307595623746028,2.778370896528825,-31.878230334208027,0.0,,4,0.0,0.0,0.0,0.0,0,1,8.0
5.0,-85.0,Primary,Primary,36.0,0.2734604507671428,3.1256672585949286,-35.86300912598403,0.0,,4,0.0,0.0,0.0,0.0,0,1,9.0
5.0,-85.0,Primary,Primary,40.0,0.3038449452968254,3.4729636206610315,-39.84778791776003,0.0,,4,0.0,0.0,0.0,0.0,0,1,10.0
15.0,-85.0,Primary,Primary,0.0,0.0,0.0,-0.0,0.0,,4,4.350428571428572,4.350428571428572,44.92428553061225,44.92428553061225,140,2,0.0
15.0,-85.0,Primary,Primary,2.0,0.0451151330500819,0.168371968934609,-1.9923893958880017,0.0,,4,0.0,0.0,0.0,0.0,0,2,0.5
15.0,-85.0,Primary,Primary,4.0,0.0902302661001638,0.336743937869218,-3.9847787917760034,0.0,,4,0.0,0.0,0.0,0.0,0,2,1.0
15.0,-85.0,Primary,Primary,8.0,0.1804605322003276,0.673487875738436,-7.969557583552007,0.0,,4,0.0,0.0,0.0,0.0,0,2,2.0
15.0,-85.0,Primary,Primary,12.0,0.27069079830049136,1.010231813607654,-11.95433637532801,0.0,,4,0.0,0.0,0.0,0.0,0,2,3.0
15.0,-85.0,Primary,Primary,16.0,0.3609210644006552,1.346975751476872,-15.939115167104013,0.0,,4,0.0,0.0,0.0,0.0,0,2,4.0
15.0,-85.0,Primary,Primary,20.0,0.451151330500819,1.6837196893460902,-19.923893958880015,0.0,,4,0.0,0.0,0.0,0.0,0,2,5.0
15.0,-85.0,Primary,Primary,24.0,0.5413815966009827,2.020463627215308,-23.90867275065602,0.0,,4,0.0,0.0,0.0,0.0,0,2,6.0
15.0,-85.0,Primary,Primary,28.0,0.6316118627011466,2.357207565084526,-27.893451542432025,0.0,,4,0.0,0.0,0.0,0.0,0,2,7.0
15.0,-85.0,Primary,Primary,32.0,0.7218421288013104,2.693951502953744,-31.878230334208027,0.0,,4,0.0,0.0,0.0,0.0,0,2,8.0
15.0,-85.0,Primary,Primary,36.0,0.8120723949014742,3.0306954408229623,-35.86300912598403,0.0,,4,0.0,0.0,0.0,0.0,0,2,9.0
15.0,-85.0,Primary,Primary,40.0,0.902302661001638,3.3674393786921804,-39.84778791776003,0.0,,4,0.0,0.0,0.0,0.0,0,2,10.0
25.0,-85.0,Primary,Primary,0.0,0.0,0.0,-0.0,0.0,,4,4.350428571428572,4.350428571428572,44.92428553061225,44.92428553061225,140,3,0.0
25.0,-85.0,Primary,Primary,2.0,0.07366721835007943,0.15797985977207746,-1.9923893958880017,0.0,,4,0.0,0.0,0.0,0.0,0,3,0.5
25.0,-85.0,Primary,Primary,4.0,0.14733443670015886,0.3159597195441549,-3.9847787917760034,0.0,,4,0.0,0.0,0.0,0.0,0,3,1.0
25.0,-85.0,Primary,Primary,8.0,0.2946688734003177,0.6319194390883098,-7.969557583552007,0.0,,4,0.0,0.0,0.0,0.0,0,3,2.0
25.0,-85.0,Primary,Primary,12.0,0.44200331010047655,0.9478791586324647,-11.95433637532801,0.0,,4,0.0,0.0,0.0,0.0,0,3,3.0
25.0,-85.0,Primary,Primary,16.0,0.5893377468006354,1.2638388781766197,-15.939115167104013,0.0,,4,0.0,0.0,0.0,0.0,0,3,4.0
25.0,-85.0,Primary,Primary,20.0,0.7366721835007943,1.5797985977207745,-19.923893958880015,0.0,,4,0.0,0.0,0.0,0.0,0,3,5.0
25.0,-85.0,Primary,Primary,24.0,0.8840066202009531,1.8957583172649295,-23.90867275065602,0.0,,4,0.0,0.0,0.0,0.0,0,3,6.0
25.0,-85.0,Primary,Primary,28.0,1.031341056901112,2.2117180368090845,-27.893451542432025,0.0,,4,0.0,0.0,0.0,0.0,0,3,7.0
25.0,-85.0,Primary,Primary,32.0,1.1786754936012709,2.5276777563532393,-31.878230334208027,0.0,,4,0.0,0.0,0.0,0.0,0,3,8.0
25.0,-85.0,Primary,Primary,36.0,1.3260099303014297,2.843637475897394,-35.86300912598403,0.0,,4,0.0,0.0,0.0,0.0,0,3,9.0
25.0,-85.0,Primary,Primary,40.0,1.4733443670015887,3.159597195441549,-39.84778791776003,0.0,,4,0.0,0.0,0.0,0.0,0,3,10.0
35.0,-85.0,Primary,Primary,0.0,0.0,0.0,-0.0,0.0,,4,4.350428571428572,4.350428571428572,44.92428553061225,44.92428553061225,140,4,0.0
35.0,-85.0,Primary,Primary,2.0,0.09998096250302332,0.14278761252297967,-1.9923893958880017,0.0,,4,0.0,0.0,0.0,0.0,0,4,0.5
35.0,-85.0,Primary,Primary,4.0,0.19996192500604665,0.28557522504595934,-3.9847787917760034,0.0,,4,0.0,0.0,0.0,0.0,0,4,1.0
35.0,-85.0,Primary,Primary,8.0,0.3999238500120933,0.5711504500919187,-7.969557583552007,0.0,,4,0.0,0.0,0.0,0.0,0,4,2.0
35.0,-85.0,Primary,Primary,12.0,0.5998857750181399,0.856725675137878,-11.95433637532801,0.0,,4,0.0,0.0,0.0,0.0,0,4,3.0
35.0,-85.0,Primary,Primary,16.0,0.7998477000241866,1.1423009001838373,-15.939115167104013,0.0,,4,0.0,0.0,0.0,0.0,0,4,4.0
35.0,-85.0,Primary,Primary,20.0,0.9998096250302333,1.4278761252297967,-19.923893958880015,0.0,,4,0.0,0.0,0.0,0.0,0,4,5.0
35.0,-85.0,Primary,Primary,24.0,1.1997715500362798,1.713451350275756,-23.90867275065602,0.0,,4,0.0,0.0,0.0,0.0,0,4,6.0
35.0,-85.0,Primary,Primary,28.0,1.3997334750423265,1.9990265753217153,-27.893451542432025,0.0,,4,0.0,0.0,0.0,0.0,0,4,7.0
35.0,-85.0,Primary,Primary,32.0,1.5996954000483732,2.2846018003676747,-31.878230334208027,0.0,,4,0.0,0.0,0.0,0.0,0,4,8.0
35.0,-85.0,Primary,Primary,36.0,1.7996573250544199,2.570177025413634,-35.86300912598403,0.0,,4,0.0,0.0,0.0,0.0,0,4,9.0
35.0,-85.0,Primary,Primary,40.0,1.9996192500604666,2.8557522504595934,-39.84778791776003,0.0,,4,0.0,0.0,0.0,0.0,0,4,10.0
45.0,-85.0,Primary,Primary,0.0,0.0,0.0,-0.0,0.0,,4,4.350428571428572,4.350428571428572,44.92428553061225,44.92428553061225,140,5,0.0
45.0,-85.0,Primary,Primary,2.0,0.12325683571004593,0.1232568359312792,-1.9923893958880017,0.0,,4,0.0,0.0,0.0,0.0,0,5,0.5
45.0,-85.0,Primary,Primary,4.0,0.24651367142009187,0.2465136718625584,-3.9847787917760034,0.0,,4,0.0,0.0,0.0,0.0,0,5,1.0
45.0,-85.0,Primary,Primary,8.0,0.49302734284018374,0.4930273437251168,-7.969557583552007,0.0,,4,0.0,0.0,0.0,0.0,0,5,2.0
45.0,-85.0,Primary,Primary,12.0,0.7395410142602756,0.7395410155876752,-11.95433637532801,0.0,,4,0.0,0.0,0.0,0.0,0,5,3.0
45.0,-85.0,Primary,Primary,16.0,0.9860546856803675,0.9860546874502336,-15.939115167104013,0.0,,4,0.0,0.0,0.0,0.0,0,5,4.0
45.0,-85.0,Primary,Primary,20.0,1.2325683571004593,1.232568359312792,-19.923893958880015,0.0,,4,0.0,0.0,0.0,0.0,0,5,5.0
45.0,-85.0,Primary,Primary,24.0,1.4790820285205513,1.4790820311753503,-23.90867275065602,0.0,,4,0.0,0.0,0.0,0.0,0,5,6.0
45.0,-85.0,Primary,Primary,28.0,1.725595699940643,1.7255957030379088,-27.893451542432025,0.0,,4,0.0,0.0,0.0,0.0,0,5,7.0
45.0,-85.0,Primary,Primary,32.0,1.972109371360735,1.9721093749004672,-31.878230334208027,0.0,,4,0.0,0.0,0.0,0.0,0,5,8.0
45.0,-85.0,Primary,Primary,36.0,2.218623042780827,2.2186230467630255,-35.86300912598403,0.0,,4,0.0,0.0,0.0,0.0,0,5,9.0
45.0,-85.0,Primary,Primary,40.0,2.4651367142009186,2.465136718625584,-39.84778791776003,0.0,,4,0.0,0.0,0.0,0.0,0,5,10.0
55.0,-85.0,Primary,Primary,0.0,0.0,0.0,-0.0,0.0,,4,4.350428571428572,4.350428571428572,44.92428553061225,44.92428553061225,140,6,0.0
55.0,-85.0,Primary,Primary,2.0,0.1427876123435242,0.0999809627593123,-1.9923893958880017,0.0,,4,0.0,0.0,0.0,0.0,0,6,0.5
55.0,-85.0,Primary,Primary,4.0,0.2855752246870484,0.1999619255186246,-3.9847787917760034,0.0,,4,0.0,0.0,0.0,0.0,0,6,1.0
55.0,-85.0,Primary,Primary,8.0,0.5711504493740968,0.3999238510372492,-7.969557583552007,0.0,,4,0.0,0.0,0.0,0.0,0,6,2.0
55.0,-85.0,Primary,Primary,12.0,0.8567256740611451,0.5998857765558738,-11.95433637532801,0.0,,4,0.0,0.0,0.0,0.0,0,6,3.0
55.0,-85.0,Primary,Primary,16.0,1.1423008987481935,0.7998477020744984,-15.939115167104013,0.0,,4,0.0,0.0,0.0,0.0,0,6,4.0
55.0,-85.0,Primary,Primary,20.0,1.427876123435242,0.999809627593123,-19.923893958880015,0.0,,4,0.0,0.0,0.0,0.0,0,6,5.0
55.0,-85.0,Primary,Primary,24.0,1.7134513481222902,1.1997715531117477,-23.90867275065602,0.0,,4,0.0,0.0,0.0,0.0,0,6,6.0
55.0,-85.0,Primary,Primary,28.0,1.9990265728093386,1.3997334786303721,-27.893451542432025,0.0,,4,0.0,0.0,0.0,0.0,0,6,7.0
55.0,-85.0,Primary,Primary,32.0,2.284601797496387,1.5996954041489968,-31.878230334208027,0.0,,4,0.0,0.0,0.0,0.0,0,6,8.0
55.0,-85.0,Primary,Primary,36.0,2.5701770221834352,1.7996573296676215,-35.86300912598403,0.0,,4,0.0,0.0,0.0,0.0,0,6,9.0
55.0,-85.0,Primary,Primary,40.0,2.855752246870484,1.999619255186246,-39.84778791776003,0.0,,4,0.0,0.0,0.0,0.0,0,6,10.0
65.0,-85.0,Primary,Primary,0.0,0.0,0.0,-0.0,0.0,,4,4.350428571428572,4.350428571428572,44.92428553061225,44.92428553061225,140,7,0.0
65.0,-85.0,Primary,Primary,2.0,0.15797985963985242,0.07366721863363694,-1.9923893958880017,0.0,,4,0.0,0.0,0.0,0.0,0,7,0.5
65.0,-85.0,Primary,Primary,4.0,0.31595971927970484,0.14733443726727388,-3.9847787917760034,0.0,,4,0.0,0.0,0.0,0.0,0,7,1.0
65.0,-85.0,Primary,Primary,8.0,0.6319194385594097,0.29466887453454776,-7.969557583552007,0.0,,4,0.0,0.0,0.0,0.0,0,7,2.0
65.0,-85.0,Primary,Primary,12.0,0.9478791578391146,0.4420033118018216,-11.95433637532801,0.0,,4,0.0,0.0,0.0,0.0,0,7,3.0
65.0,-85.0,Primary,Primary,16.0,1.2638388771188194,0.5893377490690955,-15.939115167104013,0.0,,4,0.0,0.0,0.0,0.0,0,7,4.0
65.0,-85.0,Primary,Primary,20.0,1.5797985963985242,0.7366721863363694,-19.923893958880015,0.0,,4,0.0,0.0,0.0,0.0,0,7,5.0
65.0,-85.0,Primary,Primary,24.0,1.8957583156782292,0.8840066236036432,-23.90867275065602,0.0,,4,0.0,0.0,0.0,0.0,0,7,6.0
65.0,-85.0,Primary,Primary,28.0,2.2117180349579337,1.0313410608709173,-27.893451542432025,0.0,,4,0.0,0.0,0.0,0.0,0,7,7.0
65.0,-85.0,Primary,Primary,32.0,2.5276777542376387,1.178675498138191,-31.878230334208027,0.0,,4,0.0,0.0,0.0,0.0,0,7,8.0
65.0,-85.0,Primary,Primary,36.0,2.8436374735173438,1.3260099354054649,-35.86300912598403,0.0,,4,0.0,0.0,0.0,0.0,0,7,9.0
65.0,-85.0,Primary,Primary,40.0,3.1595971927970483,1.4733443726727389,-39.84778791776003,0.0,,4,0.0,0.0,0.0,0.0,0,7,10.0
75.0,-85.0,Primary,Primary,0.0,0.0,0.0,-0.0,0.0,,4,4.350428571428572,4.350428571428572,44.92428553061225,44.92428553061225,140,8,0.0
75.0,-85.0,Primary,Primary,2.0,0.168371968853632,0.045115133352292155,-1.9923893958880017,0.0,,4,0.0,0.0,0.0,0.0,0,8,0.5
75.0,-85.0,Primary,Primary,4.0,0.336743937707264,0.09023026670458431,-3.9847787917760034,0.0,,4,0.0,0.0,0.0,0.0,0,8,1.0
75.0,-85.0,Primary,Primary,8.0,0.673487875414528,0.18046053340916862,-7.969557583552007,0.0,,4,0.0,0.0,0.0,0.0,0,8,2.0
75.0,-85.0,Primary,Primary,12.0,1.010231813121792,0.2706908001137529,-11.95433637532801,0.0,,4,0.0,0.0,0.0,0.0,0,8,3.0
75.0,-85.0,Primary,Primary,16.0,1.346975750829056,0.36092106681833724,-15.939115167104013,0.0,,4,0.0,0.0,0.0,0.0,0,8,4.0
75.0,-85.0,Primary,Primary,20.0,1.6837196885363201,0.4511513335229216,-19.923893958880015,0.0,,4,0.0,0.0,0.0,0.0,0,8,5.0
75.0,-85.0,Primary,Primary,24.0,2.020463626243584,0.5413816002275058,-23.90867275065602,0.0,,4,0.0,0.0,0.0,0.0,0,8,6.0
75.0,-85.0,Primary,Primary,28.0,2.357207563950848,0.6316118669320901,-27.893451542432025,0.0,,4,0.0,0.0,0.0,0.0,0,8,7.0
75.0,-85.0,Primary,Primary,32.0,2.693951501658112,0.7218421336366745,-31.878230334208027,0.0,,4,0.0,0.0,0.0,0.0,0,8,8.0
75.0,-85.0,Primary,Primary,36.0,3.030695439365376,0.8120724003412588,-35.86300912598403,0.0,,4,0.0,0.0,0.0,0.0,0,8,9.0
75.0,-85.0,Primary,Primary,40.0,3.3674393770726403,0.9023026670458432,-39.84778791776003,0.0,,4,0.0,0.0,0.0,0.0,0,8,10.0
85.0,-85.0,Primary,Primary,0.0,0.0,0.0,-0.0,0.0,,4,4.350428571428572,4.350428571428572,44.92428553061225,44.92428553061225,140,9,0.0
85.0,-85.0,Primary,Primary,2.0,0.17364818100578308,0.015192247576521769,-1.9923893958880017,0.0,,4,0.0,0.0,0.0,0.0,0,9,0.5
85.0,-85.0,Primary,Primary,4.0,0.34729636201156616,0.030384495153043537,-3.9847787917760034,0.0,,4,0.0,0.0,0.0,0.0,0,9,1.0
85.0,-85.0,Primary,Primary,8.0,0.6945927240231323,0.060768990306087074,-7.969557583552007,0.0,,4,0.0,0.0,0.0,0.0,0,9,2.0
85.0,-85.0,Primary,Primary,12.0,1.0418890860346985,0.09115348545913061,-11.95433637532801,0.0,,4,0.0,0.0,0.0,0.0,0,9,3.0
85.0,-85.0,Primary,Primary,16.0,1.3891854480462646,0.12153798061217415,-15.939115167104013,0.0,,4,0.0,0.0,0.0,0.0,0,9,4.0
85.0,-85.0,Primary,Primary,20.0,1.7364818100578308,0.1519224757652177,-19.923893958880015,0.0,,4,0.0,0.0,0.0,0.0,0,9,5.0
85.0,-85.0,Primary,Primary,24.0,2.083778172069397,0.18230697091826123,-23.90867275065602,0.0,,4,0.0,0.0,0.0,0.0,0,9,6.0
85.0,-85.0,Primary,Primary,28.0,2.431074534080963,0.21269146607130476,-27.893451542432025,0.0,,4,0.0,0.0,0.0,0.0,0,9,7.0
85.0,-85.0,Primary,Primary,32.0,2.7783708960925293,0.2430759612243483,-31.878230334208027,0.0,,4,0.0,0.0,0.0,0.0,0,9,8.0
85.0,-85.0,Primary,Primary,36.0,3.1256672581040954,0.27346045637739186,-35.86300912598403,0.0,,4,0.0,0.0,0.0,0.0,0,9,9.0
85.0,-85.0,Primary,Primary,40.0,3.4729636201156615,0.3038449515304354,-39.84778791776003,0.0,,4,0.0,0.0,0.0,0.0,0,9,10.0
95.0,-85.0,Primary,Primary,0.0,0.0,-0.0,-0.0,0.0,,4,4.350428571428572,4.350428571428572,44.92428553061225,44.92428553061225,140,10,0.0
95.0,-85.0,Primary,Primary,2.0,0.1736481810603201,-0.015192246953160776,-1.9923893958880017,0.0,,4,0.0,0.0,0.0,0.0,0,10,0.5
95.0,-85.0,Primary,Primary,4.0,0.3472963621206402,-0.03038449390632155,-3.9847787917760034,0.0,,4,0.0,0.0,0.0,0.0,0,10,1.0
95.0,-85.0,Primary,Primary,8.0,0.6945927242412804,-0.0607689878126431,-7.969557583552007,0.0,,4,0.0,0.0,0.0,0.0,0,10,2.0
95.0,-85.0,Primary,Primary,12.0,1.0418890863619206,-0.09115348171896465,-11.95433637532801,0.0,,4,0.0,0.0,0.0,0.0,0,10,3.0
95.0,-85.0,Primary,Primary,16.0,1.3891854484825608,-0.1215379756252862,-15.939115167104013,0.0,,4,0.0,0.0,0.0,0.0,0,10,4.0
95.0,-85.0,Primary,Primary,20.0,1.736481810603201,-0.15192246953160776,-19.923893958880015,0.0,,4,0.0,0.0,0.0,0.0,0,10,5.0
95.0,-85.0,Primary,Primary,24.0,2.083778172723841,-0.1823069634379293,-23.90867275065602,0.0,,4,0.0,0.0,0.0,0.0,0,10,6.0
95.0,-85.0,Primary,Primary,28.0,2.4310745348444813,-0.21269145734425085,-27.893451542432025,0.0,,4,0.0,0.0,0.0,0.0,0,10,7.0
95.0,-85.0,Primary,Primary,32.0,2.7783708969651215,-0.2430759512505724,-31.878230334208027,0.0,,4,0.0,0.0,0.0,0.0,0,10,8.0
95.0,-85.0,Primary,Primary,36.0,3.1256672590857617,-0.27346044515689394,-35.86300912598403,0.0,,4,0.0,0.0,0.0,0.0,0,10,9.0
95.0,-85.0,Primary,Primary,40.0,3.472963621206402,-0.3038449390632155,-39.84778791776003,0.0,,4,0.0,0.0,0.0,0.0,0,10,10.0
105.0,-85.0,Primary,Primary,0.0,0.0,-0.0,-0.0,0.0,,4,4.350428571428572,4.350428571428572,44.92428553061225,44.92428553061225,140,11,0.0
105.0,-85.0,Primary,Primary,2.0,0.16837196901558601,-0.04511513274787167,-1.9923893958880017,0.0,,4,0.0,0.0,0.0,0.0,0,11,0.5
105.0,-85.0,Primary,Primary,4.0,0.33674393803117203,-0.09023026549574334,-3.9847787917760034,0.0,,4,0.0,0.0,0.0,0.0,0,11,1.0
105.0,-85.0,Primary,Primary,8.0,0.6734878760623441,-0.18046053099148668,-7.969557583552007,0.0,,4,0.0,0.0,0.0,0.0,0,11,2.0
105.0,-85.0,Primary,Primary,12.0,1.010231814093516,-0.27069079648723005,-11.95433637532801,0.0,,4,0.0,0.0,0.0,0.0,0,11,3.0
105.0,-85.0,Primary,Primary,16.0,1.3469757521246881,-0.36092106198297336,-15.939115167104013,0.0,,4,0.0,0.0,0.0,0.0,0,11,4.0
105.0,-85.0,Primary,Primary,20.0,1.6837196901558602,-0.45115132747871667,-19.923893958880015,0.0,,4,0.0,0.0,0.0,0.0,0,11,5.0
105.0,-85.0,Primary,Primary,24.0,2.020463628187032,-0.5413815929744601,-23.90867275065602,0.0,,4,0.0,0.0,0.0,0.0,0,11,6.0
105.0,-85.0,Primary,Primary,28.0,2.357207566218204,-0.6316118584702034,-27.893451542432025,0.0,,4,0.0,0.0,0.0,0.0,0,11,7.0
105.0,-85.0,Primary,Primary,32.0,2.6939515042493762,-0.7218421239659467,-31.878230334208027,0.0,,4,0.0,0.0,0.0,0.0,0,11,8.0
105.0,-85.0,Primary,Primary,36.0,3.0306954422805483,-0.81207238946169,-35.86300912598403,0.0,,4,0.0,0.0,0.0,0.0,0,11,9.0
105.0,-85.0,Primary,Primary,40.0,3.3674393803117204,-0.9023026549574333,-39.84778791776003,0.0,,4,0.0,0.0,0.0,0.0,0,11,10.0
115.0,-85.0,Primary,Primary,0.0,0.0,-0.0,-0.0,0.0,,4,4.350428571428572,4.350428571428572,44.92428553061225,44.92428553061225,140,12,0.0
115.0,-85.0,Primary,Primary,2.0,0.1579798599043025,-0.07366721806652195,-1.9923893958880017,0.0,,4,0.0,0.0,0.0,0.0,0,12,0.5
115.0,-85.0,Primary,Primary,4.0,0.315959719808605,-0.1473344361330439,-3.9847787917760034,0.0,,4,0.0,0.0,0.0,0.0,0,12,1.0
115.0,-85.0,Primary,Primary,8.0,0.63191943961721,-0.2946688722660878,-7.969557583552007,0.0,,4,0.0,0.0,0.0,0.0,0,12,2.0
115.0,-85.0,Primary,Primary,12.0,0.9478791594258149,-0.4420033083991317,-11.95433637532801,0.0,,4,0.0,0.0,0.0,0.0,0,12,3.0
115.0,-85.0,Primary,Primary,16.0,1.26383887923442,-0.5893377445321756,-15.939115167104013,0.0,,4,0.0,0.0,0.0,0.0,0,12,4.0
115.0,-85.0,Primary,Primary,20.0,1.579798599043025,-0.7366721806652194,-19.923893958880015,0.0,,4,0.0,0.0,0.0,0.0,0,12,5.0
115.0,-85.0,Primary,Primary,24.0,1.8957583188516298,-0.8840066167982634,-23.90867275065602,0.0,,4,0.0,0.0,0.0,0.0,0,12,6.0
115.0,-85.0,Primary,Primary,28.0,2.211718038660235,-1.0313410529313072,-27.893451542432025,0.0,,4,0.0,0.0,0.0,0.0,0,12,7.0
115.0,-85.0,Primary,Primary,32.0,2.52767775846884,-1.1786754890643512,-31.878230334208027,0.0,,4,0.0,0.0,0.0,0.0,0,12,8.0
115.0,-85.0,Primary,Primary,36.0,2.843637478277445,-1.3260099251973951,-35.86300912598403,0.0,,4,0.0,0.0,0.0,0.0,0,12,9.0
115.0,-85.0,Primary,Primary,40.0,3.15959719808605,-1.473344361330439,-39.84778791776003,0.0,,4,0.0,0.0,0.0,0.0,0,12,10.0
125.0,-85.0,Primary,Primary,0.0,0.0,-0.0,-0.0,0.0,,4,4.350428571428572,4.350428571428572,44.92428553061225,44.92428553061225,140,13,0.0
125.0,-85.0,Primary,Primary,2.0,0.14278761270243512,-0.09998096224673439,-1.9923893958880017,0.0,,4,0.0,0.0,0.0,0.0,0,13,0.5
125.0,-85.0,Primary,Primary,4.0,0.28557522540487024,-0.19996192449346878,-3.9847787917760034,0.0,,4,0.0,0.0,0.0,0.0,0,13,1.0
125.0,-85.0,Primary,Primary,8.0,0.5711504508097405,-0.39992384898693756,-7.969557583552007,0.0,,4,0.0,0.0,0.0,0.0,0,13,2.0
125.0,-85.0,Primary,Primary,12.0,0.8567256762146107,-0.5998857734804064,-11.95433637532801,0.0,,4,0.0,0.0,0.0,0.0,0,13,3.0
125.0,-85.0,Primary,Primary,16.0,1.142300901619481,-0.7998476979738751,-15.939115167104013,0.0,,4,0.0,0.0,0.0,0.0,0,13,4.0
125.0,-85.0,Primary,Primary,20.0,1.4278761270243512,-0.9998096224673438,-19.923893958880015,0.0,,4,0.0,0.0,0.0,0.0,0,13,5.0
125.0,-85.0,Primary,Primary,24.0,1.7134513524292214,-1.1997715469608128,-23.90867275065602,0.0,,4,0.0,0.0,0.0,0.0,0,13,6.0
125.0,-85.0,Primary,Primary,28.0,1.9990265778340917,-1.3997334714542815,-27.893451542432025,0.0,,4,0.0,0.0,0.0,0.0,0,13,7.0
125.0,-85.0,Primary,Primary,32.0,2.284601803238962,-1.5996953959477502,-31.878230334208027,0.0,,4,0.0,0.0,0.0,0.0,0,13,8.0
125.0,-85.0,Primary,Primary,36.0,2.5701770286438324,-1.799657320441219,-35.86300912598403,0.0,,4,0.0,0.0,0.0,0.0,0,13,9.0
125.0,-85.0,Primary,Primary,40.0,2.8557522540487024,-1.9996192449346877,-39.84778791776003,0.0,,4,0.0,0.0,0.0,0.0,0,13,10.0
135.0,-85.0,Primary,Primary,0.0,0.0,-0.0,-0.0,0.0,,4,4.350428571428572,4.350428571428572,44.92428553061225,44.92428553061225,140,14,0.0
135.0,-85.0,Primary,Primary,2.0,0.12325683615251246,-0.12325683548881268,-1.9923893958880017,0.0,,4,0.0,0.0,0.0,0.0,0,14,0.5
135.0,-85.0,Primary,Primary,4.0,0.2465136723050249,-0.24651367097762536,-3.9847787917760034,0.0,,4,0.0,0.0,0.0,0.0,0,14,1.0
135.0,-85.0,Primary,Primary,8.0,0.4930273446100498,-0.4930273419552507,-7.969557583552007,0.0,,4,0.0,0.0,0.0,0.0,0,14,2.0
135.0,-85.0,Primary,Primary,12.0,0.7395410169150747,-0.7395410129328761,-11.95433637532801,0.0,,4,0.0,0.0,0.0,0.0,0,14,3.0
135.0,-85.0,Primary,Primary,16.0,0.9860546892200996,-0.9860546839105014,-15.939115167104013,0.0,,4,0.0,0.0,0.0,0.0,0,14,4.0
