BHID,FROM,TO,LITHO_DESC,lithoID
10400,3.96,63.24,Early Diorite,2
10400,63.24,76.93,Felsic to Intermediate Dykes,3
10400,76.93,105.61,Early Diorite,2
10400,105.61,109.11,Intermediate to Ultramafic Volcanics,5
10400,109.11,110.33,Early Diorite,2
10400,110.33,112.16,Intermediate to Ultramafic Volcanics,5
10400,112.16,114.3,Early Diorite,2
10400,114.3,116.89,Intermediate to Ultramafic Volcanics,5
10400,116.89,158.19,Early Diorite,2
10400,158.19,173.88,Intermediate to Ultramafic Volcanics,5
10400,173.88,210.92,Early Diorite,2
10400,210.92,258.77,Intermediate to Ultramafic Volcanics,5
10400,258.77,275.69,Early Diorite,2
10400,275.69,304.8,Intermediate to Ultramafic Volcanics,5
10401,0,3.65,Casing,1
10401,3.65,166.87,Intermediate to Ultramafic Volcanics,5
10401,166.87,168.55,Early Diorite,2
10401,168.55,212.14,Early Diorite,2
10401,212.14,234.54,Felsic to Intermediate Dykes,3
10401,234.54,242.77,Intermediate to Ultramafic Volcanics,5
10401,242.77,245.51,Felsic to Intermediate Dykes,3
10401,245.51,252.37,Intermediate to Ultramafic Volcanics,5
10401,252.37,265.63,Felsic to Intermediate Dykes,3
10401,265.63,266.24,Intermediate to Ultramafic Volcanics,5
10401,266.24,266.48,Felsic to Intermediate Dykes,3
10401,266.48,298.7,Intermediate to Ultramafic Volcanics,5
10402,0,4.57,Casing,1
10402,4.57,110.64,Intermediate to Ultramafic Volcanics,5
10402,110.64,111.31,Diorite,2
10402,111.31,115.12,Felsic to Intermediate Dykes,3
10402,115.12,140.51,Intermediate to Ultramafic Volcanics,5
10416,0,8.53,Casing,1
10416,8.53,47.24,Shear Zone,4
10416,47.24,114.6,Intermediate to Ultramafic Volcanics,5
10416,114.6,121,Intermediate to Ultramafic Volcanics,5
10416,121,174.49,Early Diorite,2
10416,174.49,175.71,Felsic to Intermediate Dykes,3
10416,175.71,193.85,Early Diorite,2
10416,193.85,201.47,Intermediate to Ultramafic Volcanics,5
10416,201.47,218.38,Early Diorite,2
10416,218.38,224.02,Intermediate to Ultramafic Volcanics,5
10416,224.02,229.51,Early Diorite,2
10421,0,13.41,Casing,1
10421,13.41,21.94,Intermediate to Ultramafic Volcanics,5
10421,21.94,25.9,Shear Zone,4
10421,25.9,110.03,Intermediate to Ultramafic Volcanics,5
10421,110.03,128.32,Early Diorite,2
10421,128.32,137.61,Early Diorite,2
10421,137.61,148.74,Felsic to Intermediate Dykes,3
10421,148.74,152.7,Intermediate to Ultramafic Volcanics,5
10422,0,12.19,Casing,1
10422,12.19,49.83,Intermediate to Ultramafic Volcanics,5
10422,49.83,70.4,Early Diorite,2
10422,70.4,78.33,Intermediate to Ultramafic Volcanics,5
10422,78.33,85.03,Early Diorite,2
10422,85.03,90.83,Intermediate to Ultramafic Volcanics,5
10422,90.83,93.14,Shear Zone,4
10422,93.14,94.48,Diorite,2
10422,94.48,141,Intermediate to Ultramafic Volcanics,5
10422,141,207.26,Early Diorite,2
10422,207.26,281.33,Intermediate to Ultramafic Volcanics,5
10422,281.33,285.59,Early Diorite,2
10422,285.59,343.96,Intermediate to Ultramafic Volcanics,5
10422,343.96,360.88,Intermediate to Ultramafic Volcanics,5
10422,360.88,368.16,Felsic to Intermediate Dykes,3
10422,368.16,398.06,Intermediate to Ultramafic Volcanics,5
10422,398.06,400.2,Diorite,2
10422,400.2,403.25,Intermediate to Ultramafic Volcanics,5
10422,403.25,404.01,Diorite,2
10422,404.01,411.02,Intermediate to Ultramafic Volcanics,5
10422,411.02,413.46,Diorite,2
10422,413.46,421.38,Intermediate to Ultramafic Volcanics,5
10422,421.38,427.02,Diorite,2
10422,427.02,438.75,Intermediate to Ultramafic Volcanics,5
10422,438.75,445.61,Early Diorite,2
10422,445.61,488.59,Intermediate to Ultramafic Volcanics,5
11,0,7.62,Casing,1
11,7.62,9.78,Diabase,9
11,9.78,30.32,Early Diorite,2
11,30.32,44.8,Shear Zone,4
11,44.8,78.33,Intermediate to Ultramafic Volcanics,5
11241,0,8.53,Casing,1
11241,8.53,30.35,Indifferenciated Tuffs,6
11241,30.35,42.03,Felsic to Intermediate Dykes,3
11241,42.03,43.49,Intermediate to Ultramafic Volcanics,5
11241,43.49,49.98,Indifferenciated Tuffs,6
11242,0,6.09,Casing,1
11242,6.09,12,Felsic to Intermediate Dykes,3
11242,12,22.95,Indifferenciated Tuffs,6
11242,22.95,42.97,Felsic to Intermediate Dykes,3
11263,0,6.22,Casing,1
11263,6.22,18.33,Intermediate to Ultramafic Volcanics,5
11264,0,10.82,Casing,1
11264,10.82,27.27,Intermediate to Ultramafic Volcanics,5
11265,0,1.58,Casing,1
11265,1.58,1.9,Intermediate to Ultramafic Volcanics,5
11265,1.9,15.59,Felsic to Intermediate Dykes,3
1135,0,4.57,Casing,1
1135,4.57,67.05,Intermediate to Ultramafic Volcanics,5
1136,0,0.91,Casing,1
1136,0.91,1.28,Intermediate to Ultramafic Volcanics,5
1136,1.28,3.04,Early Diorite,2
1136,3.04,33.07,Intermediate to Ultramafic Volcanics,5
1136,33.07,33.25,Felsic to Intermediate Dykes,3
1136,33.25,61.56,Intermediate to Ultramafic Volcanics,5
11575,0,7.71,Casing,1
11575,7.71,14.08,Indifferenciated Tuffs,6
11575,14.08,25.11,Felsic to Intermediate Dykes,3
11575,25.11,35.66,Indifferenciated Tuffs,6
11575,35.66,35.75,Felsic to Intermediate Dykes,3
11575,35.75,78.02,Indifferenciated Tuffs,6
11575,78.02,87.32,Felsic to Intermediate Dykes,3
11575,87.32,200.25,Indifferenciated Tuffs,6
11575,200.25,213.05,Felsic to Intermediate Dykes,3
11575,213.05,214.82,Indifferenciated Tuffs,6
11575,214.82,218.9,Felsic to Intermediate Dykes,3
11575,218.9,222.65,Intermediate to Ultramafic Volcanics,5
11575,222.65,227.92,Indifferenciated Tuffs,6
11575,227.92,228.6,Felsic to Intermediate Dykes,3
11575,228.6,255.42,Indifferenciated Tuffs,6
11576,0,7.92,Casing,1
11576,7.92,77.72,Indifferenciated Tuffs,6
11577,0,10.66,Casing,1
11577,10.66,18.04,Intermediate to Ultramafic Volcanics,5
11577,18.04,18.77,Early Diorite,2
11577,18.77,22.52,Intermediate to Ultramafic Volcanics,5
11577,22.52,37.09,Felsic to Intermediate Dykes,3
11577,37.09,40.84,Indifferenciated Tuffs,6
11577,40.84,52.48,Early Diorite,2
11577,52.48,68.61,Intermediate to Ultramafic Volcanics,5
11577,68.61,76.93,Early Diorite,2
11577,76.93,88.78,Intermediate to Ultramafic Volcanics,5
11577,88.78,98.14,Early Diorite,2
11577,98.14,103.02,Intermediate to Ultramafic Volcanics,5
11578,0,6.94,Casing,1
11578,6.94,21.12,Indifferenciated Tuffs,6
11578,21.12,21.33,Early Diorite,2
11578,21.33,37.49,Indifferenciated Tuffs,6
11578,37.49,39.65,Felsic to Intermediate Dykes,3
11578,39.65,40.29,Intermediate to Ultramafic Volcanics,5
11578,40.29,42.76,Felsic to Intermediate Dykes,3
11578,42.76,126.97,Intermediate to Ultramafic Volcanics,5
11578,126.97,150.26,Early Diorite,2
11578,150.26,171.51,Intermediate to Ultramafic Volcanics,5
11578,171.51,179.71,Early Diorite,2
11578,179.71,201.32,Intermediate to Ultramafic Volcanics,5
11578,201.32,213.54,Early Diorite,2
11578,213.54,232.74,Intermediate to Ultramafic Volcanics,5
11578,232.74,237.13,Early Diorite,2
11579,0,8.53,Casing,1
11579,8.53,34.83,Indifferenciated Tuffs,6
11579,34.83,39.8,Felsic to Intermediate Dykes,3
11579,39.8,40.72,Indifferenciated Tuffs,6
11579,40.72,42.12,Felsic to Intermediate Dykes,3
11579,42.12,43.55,Indifferenciated Tuffs,6
11579,43.55,59.86,Intermediate to Ultramafic Volcanics,5
11579,59.86,65.41,Indifferenciated Tuffs,6
11579,65.41,70.56,Indifferenciated Tuffs,6
11579,70.56,99.12,Intermediate to Ultramafic Volcanics,5
11579,99.12,108.99,Diorite,2
11579,108.99,110.64,Intermediate to Ultramafic Volcanics,5
11579,110.64,114.69,Intermediate to Ultramafic Volcanics,5
11579,114.69,115.21,Intermediate to Ultramafic Volcanics,5
11580,0,3.04,Casing,1
11580,3.04,4.69,Early Diorite,2
11580,4.69,11.67,Intermediate to Ultramafic Volcanics,5
11580,11.67,13.1,Early Diorite,2
11580,13.1,15.08,Intermediate to Ultramafic Volcanics,5
11580,15.08,15.72,Early Diorite,2
11580,15.72,20.6,Intermediate to Ultramafic Volcanics,5
11580,20.6,20.87,Early Diorite,2
11580,20.87,31.24,Intermediate to Ultramafic Volcanics,5
11580,31.24,31.57,Early Diorite,2
11580,31.57,44.16,Intermediate to Ultramafic Volcanics,5
11580,44.16,53.24,Early Diorite,2
11580,53.24,56.72,Intermediate to Ultramafic Volcanics,5
11580,56.72,58.82,Early Diorite,2
11580,58.82,61.14,Intermediate to Ultramafic Volcanics,5
11580,61.14,61.63,Early Diorite,2
11580,61.63,62.69,Intermediate to Ultramafic Volcanics,5
11580,62.69,63.61,Early Diorite,2
11580,63.61,64.61,Intermediate to Ultramafic Volcanics,5
11580,64.61,69.95,Indifferenciated Tuffs,6
11580,69.95,88.57,Intermediate to Ultramafic Volcanics,5
11580,88.57,90.46,Indifferenciated Tuffs,6
11580,90.46,95.21,Intermediate to Ultramafic Volcanics,5
11580,95.21,109.51,Indifferenciated Tuffs,6
11580,109.51,110.55,Intermediate to Ultramafic Volcanics,5
11580,110.55,154.56,Early Diorite,2
11580,154.56,162.24,Indifferenciated Tuffs,6
11580,162.24,166.96,Early Diorite,2
11580,166.96,167.3,Early Diorite,2
11580,167.3,168.55,Early Diorite,2
11580,168.55,169.43,Early Diorite,2
11580,169.43,169.98,Early Diorite,2
11580,169.98,171.48,Early Diorite,2
11580,171.48,174.43,Felsic to Intermediate Dykes,3
11580,174.43,178.94,Indifferenciated Tuffs,6
11580,178.94,183.7,Intermediate to Ultramafic Volcanics,5
11580,183.7,218.84,Early Diorite,2
11621,0,7.62,Casing,1
11621,7.62,25.6,Intermediate to Ultramafic Volcanics,5
11621,25.6,27.12,Indifferenciated Tuffs,6
11621,27.12,29.62,Felsic to Intermediate Dykes,3
11621,29.62,91.44,Intermediate to Ultramafic Volcanics,5
11622,0,1.82,Casing,1
11622,1.82,36.17,Intermediate to Ultramafic Volcanics,5
11622,36.17,53.06,Early Diorite,2
11622,53.06,71.93,Intermediate to Ultramafic Volcanics,5
11622,71.93,72.23,Shear Zone,4
11622,72.23,73.94,Intermediate to Ultramafic Volcanics,5
11622,73.94,83.21,Indifferenciated Tuffs,6
11622,83.21,84.73,Felsic to Intermediate Dykes,3
11622,84.73,92.32,Indifferenciated Tuffs,6
11622,92.32,96.92,Felsic to Intermediate Dykes,3
11622,96.92,99.97,Indifferenciated Tuffs,6
11658,0,7.31,Casing,1
11658,7.31,56.08,Intermediate to Ultramafic Volcanics,5
11658,56.08,65.95,Early Diorite,2
11658,65.95,75.65,Intermediate to Ultramafic Volcanics,5
11658,75.65,83.36,Early Diorite,2
11658,83.36,128.38,Intermediate to Ultramafic Volcanics,5
11658,128.38,132.8,Early Diorite,2
11658,132.8,132.89,Intermediate to Ultramafic Volcanics,5
11658,132.89,133.19,Shear Zone,4
11658,133.19,134.47,Intermediate to Ultramafic Volcanics,5
11658,134.47,138.25,Early Diorite,2
11658,138.25,148.04,Intermediate to Ultramafic Volcanics,5
11658,148.04,151.33,Indifferenciated Tuffs,6
11658,151.33,157.79,Intermediate to Ultramafic Volcanics,5
11658,157.79,158.8,Early Diorite,2
11658,158.8,159.37,Intermediate to Ultramafic Volcanics,5
11658,159.37,165.17,Early Diorite,2
11658,165.17,176.69,Intermediate to Ultramafic Volcanics,5
11658,176.69,181.66,Indifferenciated Tuffs,6
11658,181.66,202.93,Intermediate to Ultramafic Volcanics,5
11658,202.93,206.92,Early Diorite,2
11658,206.92,255.3,Indifferenciated Tuffs,6
11658,255.3,257.76,Felsic to Intermediate Dykes,3
11658,257.76,274.32,Intermediate to Ultramafic Volcanics,5
12,0,10.3,Casing,1
12,10.3,11,Intermediate to Ultramafic Volcanics,5
12,11,13.99,Felsic to Intermediate Dykes,3
12,13.99,25.9,Intermediate to Ultramafic Volcanics,5
12,25.9,33.52,Shear Zone,4
12,33.52,35.66,Early Diorite,2
12,35.66,40.62,Shear Zone,4
12,40.62,41.75,Felsic to Intermediate Dykes,3
12,41.75,44.04,Early Diorite,2
12,44.04,44.5,Felsic to Intermediate Dykes,3
12,44.5,45.96,Shear Zone,4
12,45.96,48.24,Felsic to Intermediate Dykes,3
12,48.24,56.5,Early Diorite,2
12,56.5,62.48,Felsic to Intermediate Dykes,3
12,62.48,105.76,Shear Zone,4
12,105.76,109.11,Intermediate to Ultramafic Volcanics,5
12,109.11,113.99,Shear Zone,4
12,113.99,118.87,Early Diorite,2
12,118.87,126.49,Shear Zone,4
12,126.49,131.06,Early Diorite,2
12,131.06,139.44,Shear Zone,4
12,139.44,140.66,Felsic to Intermediate Dykes,3
12,140.66,149.5,Shear Zone,4
12,149.5,152.09,Felsic to Intermediate Dykes,3
12,152.09,183.48,Shear Zone,4
12,183.48,187.45,Early Diorite,2
12,187.45,197.81,Shear Zone,4
13,0,11.58,Casing,1
13,11.58,92.96,Intermediate to Ultramafic Volcanics,5
13,92.96,96.31,Early Diorite,2
13,96.31,97.53,Felsic to Intermediate Dykes,3
13,97.53,102.1,Early Diorite,2
13,102.1,104.54,Intermediate to Ultramafic Volcanics,5
13,104.54,109.72,Early Diorite,2
13,109.72,110.33,Felsic to Intermediate Dykes,3
13,110.33,120.85,Early Diorite,2
13,120.85,125.97,Felsic to Intermediate Dykes,3
13,125.97,138.37,Early Diorite,2
13,138.37,139.14,Intermediate to Ultramafic Volcanics,5
13,139.14,143.25,Early Diorite,2
13,143.25,167.64,Intermediate to Ultramafic Volcanics,5
13,167.64,173.73,Shear Zone,4
13,173.73,179.83,Intermediate to Ultramafic Volcanics,5
13,179.83,193.85,Early Diorite,2
13614,0,5.48,Casing,1
13614,5.48,8.83,Early Diorite,2
13614,8.83,28.34,Intermediate to Ultramafic Volcanics,5
13614,28.34,38.4,Early Diorite,2
14,0,5.79,Casing,1
14,5.79,36.66,Early Diorite,2
14,36.66,43.12,Felsic to Intermediate Dykes,3
14,43.12,56.41,Early Diorite,2
14,56.41,62.48,Felsic to Intermediate Dykes,3
14,62.48,73.3,Early Diorite,2
14341,0,6.4,Casing,1
14341,6.4,7.22,Early Diorite,2
14341,7.22,10.97,Felsic to Intermediate Dykes,3
14341,10.97,13.71,Early Diorite,2
14341,13.71,14.02,Shear Zone,4
14341,14.02,28.04,Early Diorite,2
14341,28.04,28.8,Shear Zone,4
14341,28.8,66.99,Indifferenciated Tuffs,6
14341,66.99,84.73,Early Diorite,2
14341,84.73,87.44,Shear Zone,4
14341,87.44,89.91,Felsic to Intermediate Dykes,3
14341,89.91,106.19,Intermediate to Ultramafic Volcanics,5
14341,106.19,108.6,Shear Zone,4
14341,108.6,117.89,Early Diorite,2
14341,117.89,125.63,Felsic to Intermediate Dykes,3
14341,125.63,128.71,Intermediate to Ultramafic Volcanics,5
14341,128.71,133.31,Intermediate to Ultramafic Volcanics,5
14341,133.31,148.28,Intermediate to Ultramafic Volcanics,5
14341,148.28,150.72,Early Diorite,2
14341,150.72,151.54,Felsic to Intermediate Dykes,3
14341,151.54,156.97,Early Diorite,2
14341,156.97,182.11,Intermediate to Ultramafic Volcanics,5
14341,182.11,185.01,Felsic to Intermediate Dykes,3
14341,185.01,203.94,Intermediate to Ultramafic Volcanics,5
14341,203.94,206.62,Felsic to Intermediate Dykes,3
14341,206.62,214.03,Intermediate to Ultramafic Volcanics,5
14341,214.03,218.63,Felsic to Intermediate Dykes,3
14341,218.63,239.26,Intermediate to Ultramafic Volcanics,5
14342,0,6.4,Casing,1
14342,6.4,18.5,Early Diorite,2
14342,18.5,26.39,Felsic to Intermediate Dykes,3
14342,26.39,28.74,Early Diorite,2
14342,28.74,40.5,Felsic to Intermediate Dykes,3
14342,40.5,68.18,Early Diorite,2
14342,68.18,154.62,Indifferenciated Tuffs,6
14342,154.62,175.38,Early Diorite,2
14342,175.38,212.75,Intermediate to Ultramafic Volcanics,5
14342,212.75,217.32,Felsic to Intermediate Dykes,3
14342,217.32,218.93,Intermediate to Ultramafic Volcanics,5
14342,218.93,222.29,Felsic to Intermediate Dykes,3
14342,222.29,226.77,Intermediate to Ultramafic Volcanics,5
14342,226.77,229.24,Early Diorite,2
14342,229.24,230.18,Felsic to Intermediate Dykes,3
14342,230.18,233.99,Early Diorite,2
14342,233.99,244.81,Felsic to Intermediate Dykes,3
14342,244.81,260.6,Early Diorite,2
14342,260.6,297.51,Intermediate to Ultramafic Volcanics,5
14342,297.51,298.76,Felsic to Intermediate Dykes,3
14342,298.76,301.05,Intermediate to Ultramafic Volcanics,5
14342,301.05,319.67,Early Diorite,2
14342,319.67,354.36,Intermediate to Ultramafic Volcanics,5
14342,354.36,360.82,Felsic to Intermediate Dykes,3
14342,360.82,369.87,Intermediate to Ultramafic Volcanics,5
14342,369.87,386.54,Felsic to Intermediate Dykes,3
14342,386.54,406.35,Intermediate to Ultramafic Volcanics,5
14342,406.35,416.35,Early Diorite,2
14343,0,9.75,Casing,1
14343,9.75,45.11,Indifferenciated Tuffs,6
14343,45.11,64.67,Early Diorite,2
14343,64.67,66.62,Felsic to Intermediate Dykes,3
14343,66.62,74.67,Intermediate to Ultramafic Volcanics,5
14343,74.67,79.33,Indifferenciated Tuffs,6
14343,79.33,84.73,Intermediate to Ultramafic Volcanics,5
14343,84.73,87.96,Early Diorite,2
14343,87.96,91.01,Intermediate to Ultramafic Volcanics,5
14343,91.01,113.35,Intermediate to Ultramafic Volcanics,5
14343,113.35,116.28,Felsic to Intermediate Dykes,3
14343,116.28,116.55,Intermediate to Ultramafic Volcanics,5
14343,116.55,119.32,Felsic to Intermediate Dykes,3
14343,119.32,129.11,Intermediate to Ultramafic Volcanics,5
14343,129.11,129.54,Felsic to Intermediate Dykes,3
14343,129.54,147,Intermediate to Ultramafic Volcanics,5
14343,147,150.26,Early Diorite,2
14343,150.26,196.07,Intermediate to Ultramafic Volcanics,5
14343,196.07,200.13,Early Diorite,2
14343,200.13,209.12,Intermediate to Ultramafic Volcanics,5
14343,209.12,213.75,Felsic to Intermediate Dykes,3
14343,213.75,245.36,Intermediate to Ultramafic Volcanics,5
14344,0,8.22,Casing,1
14344,8.22,23.65,Intermediate to Ultramafic Volcanics,5
14344,23.65,47.54,Early Diorite,2
14344,47.54,71.01,Indifferenciated Tuffs,6
14344,71.01,85.55,Intermediate to Ultramafic Volcanics,5
14344,85.55,88.94,Felsic to Intermediate Dykes,3
14344,88.94,94.6,Indifferenciated Tuffs,6
14344,94.6,97.53,Felsic to Intermediate Dykes,3
14344,97.53,117.65,Indifferenciated Tuffs,6
14344,117.65,123.07,Early Diorite,2
14344,123.07,127.07,Felsic to Intermediate Dykes,3
14344,127.07,137.52,Early Diorite,2
14344,137.52,143.8,Indifferenciated Tuffs,6
14344,143.8,161.3,Early Diorite,2
14344,161.3,167.64,Felsic to Intermediate Dykes,3
14344,167.64,179.31,Early Diorite,2
14344,179.31,179.89,Felsic to Intermediate Dykes,3
14344,179.89,194.46,Intermediate to Ultramafic Volcanics,5
14344,194.46,199.64,Shear Zone,4
14344,199.64,202.99,Intermediate to Ultramafic Volcanics,5
14344,202.99,204.82,Shear Zone,4
14344,204.82,238.26,Early Diorite,2
14344,238.26,245.66,Shear Zone,4
14344,245.66,251.33,Early Diorite,2
14344,251.33,273.71,Shear Zone,4
14344,273.71,300.47,Shear Zone,4
14344,300.47,308.45,Felsic to Intermediate Dykes,3
14344,308.45,312.02,Diorite,2
14344,312.02,313.33,Felsic to Intermediate Dykes,3
14344,313.33,341.83,Intermediate to Ultramafic Volcanics,5
14344,341.83,349.3,Early Diorite,2
14344,349.3,355.54,Intermediate to Ultramafic Volcanics,5
14345,0,7.31,Casing,1
14345,7.31,27.18,Intermediate to Ultramafic Volcanics,5
14345,27.18,38.77,Early Diorite,2
14345,38.77,40.11,Felsic to Intermediate Dykes,3
14345,40.11,52.88,Indifferenciated Tuffs,6
14345,52.88,55.47,Early Diorite,2
14345,55.47,93.36,Indifferenciated Tuffs,6
14345,93.36,100.73,Early Diorite,2
14345,100.73,104.82,Felsic to Intermediate Dykes,3
14345,104.82,142.64,Early Diorite,2
14345,142.64,165.35,Intermediate to Ultramafic Volcanics,5
14345,165.35,169.52,Early Diorite,2
14345,169.52,172.39,Intermediate to Ultramafic Volcanics,5
14345,172.39,174.68,Early Diorite,2
14345,174.68,205.95,Intermediate to Ultramafic Volcanics,5
14345,205.95,209.76,Felsic to Intermediate Dykes,3
14345,209.76,213.87,Intermediate to Ultramafic Volcanics,5
14345,213.87,219.15,Felsic to Intermediate Dykes,3
14345,219.15,242.55,Intermediate to Ultramafic Volcanics,5
14345,242.55,247.19,Felsic to Intermediate Dykes,3
14345,247.19,248.71,Intermediate to Ultramafic Volcanics,5
14400,0,4.57,Casing,1
14400,4.57,48.64,Indifferenciated Tuffs,6
14400,48.64,74.37,Early Diorite,2
14400,74.37,87.56,Felsic to Intermediate Dykes,3
14400,87.56,101.98,Intermediate to Ultramafic Volcanics,5
14400,101.98,108.56,Felsic to Intermediate Dykes,3
14400,108.56,181.78,Intermediate to Ultramafic Volcanics,5
14400,181.78,190.68,Felsic to Intermediate Dykes,3
14400,190.68,195.07,Intermediate to Ultramafic Volcanics,5
14400,195.07,213.96,Early Diorite,2
14400,213.96,246.67,Intermediate to Ultramafic Volcanics,5
14400,246.67,259.78,Early Diorite,2
14400,259.78,270.96,Felsic to Intermediate Dykes,3
14400,270.96,275.99,Early Diorite,2
14400,275.99,306.17,Intermediate to Ultramafic Volcanics,5
14400,306.17,318.21,Felsic to Intermediate Dykes,3
14400,318.21,364.84,Intermediate to Ultramafic Volcanics,5
14400,364.84,388.01,Felsic to Intermediate Dykes,3
14400,388.01,419.4,Intermediate to Ultramafic Volcanics,5
14972,0,3.65,Casing,1
14972,3.65,13.99,Intermediate to Ultramafic Volcanics,5
14972,13.99,22.31,Shear Zone,4
14972,22.31,33.49,Intermediate to Ultramafic Volcanics,5
14972,33.49,44.01,Felsic to Intermediate Dykes,3
14972,44.01,46.78,Shear Zone,4
14972,46.78,79.43,Intermediate to Ultramafic Volcanics,5
14972,79.43,83.05,Felsic to Intermediate Dykes,3
14972,83.05,88.23,Indifferenciated Tuffs,6
14972,88.23,97.93,Intermediate to Ultramafic Volcanics,5
14972,97.93,101.89,Early Diorite,2
14972,101.89,102.56,Intermediate to Ultramafic Volcanics,5
14972,102.56,104.05,Early Diorite,2
14972,104.05,138.92,Intermediate to Ultramafic Volcanics,5
14972,138.92,159.56,Early Diorite,2
14972,159.56,167.67,Shear Zone,4
14972,167.67,171.75,Intermediate to Ultramafic Volcanics,5
14972,171.75,178.46,Early Diorite,2
14972,178.46,181.26,Intermediate to Ultramafic Volcanics,5
14972,181.26,184.4,Early Diorite,2
14972,184.4,192.96,Intermediate to Ultramafic Volcanics,5
14972,192.96,193.73,Quartz-Tourmaline Veins,10
14972,193.73,203.39,Intermediate to Ultramafic Volcanics,5
14972,203.39,204.36,Early Diorite,2
14972,204.36,208.78,Intermediate to Ultramafic Volcanics,5
14972,208.78,212.59,Early Diorite,2
14972,212.59,218.84,Intermediate to Ultramafic Volcanics,5
14972,218.84,266.85,Early Diorite,2
14972,266.85,275.84,Intermediate to Ultramafic Volcanics,5
14972,275.84,281.63,Early Diorite,2
14972,281.63,287.12,Intermediate to Ultramafic Volcanics,5
14972,287.12,294.04,Early Diorite,2
14972,294.04,294.77,Felsic to Intermediate Dykes,3
14972,294.77,296.69,Intermediate to Ultramafic Volcanics,5
14972,296.69,309.43,Felsic to Intermediate Dykes,3
14972,309.43,319.49,Early Diorite,2
14972,319.49,326.74,Intermediate to Ultramafic Volcanics,5
14972,326.74,395.63,Early Diorite,2
14973,0,1.21,Casing,1
14973,1.21,52.94,Intermediate to Ultramafic Volcanics,5
14973,52.94,62.33,Early Diorite,2
14973,62.33,79.03,Intermediate to Ultramafic Volcanics,5
14973,79.03,80.46,Felsic to Intermediate Dykes,3
14973,80.46,234.08,Intermediate to Ultramafic Volcanics,5
14973,234.08,244.26,Early Diorite,2
14973,244.26,262.15,Indifferenciated Tuffs,6
14973,262.15,270.35,Intermediate to Ultramafic Volcanics,5
14973,270.35,276.75,Early Diorite,2
14973,276.75,285.68,Intermediate to Ultramafic Volcanics,5
14973,285.68,289.77,Felsic to Intermediate Dykes,3
14973,289.77,294.83,Intermediate to Ultramafic Volcanics,5
14973,294.83,303.67,Early Diorite,2
14973,303.67,312.2,Intermediate to Ultramafic Volcanics,5
14973,312.2,317.05,Felsic to Intermediate Dykes,3
14973,317.05,328.11,Intermediate to Ultramafic Volcanics,5
14973,328.11,336.49,Felsic to Intermediate Dykes,3
14973,336.49,344.94,Intermediate to Ultramafic Volcanics,5
14973,344.94,357.68,Early Diorite,2
14973,357.68,368.92,Indifferenciated Tuffs,6
14973,368.92,413.91,Intermediate to Ultramafic Volcanics,5
14974,0,6.09,Casing,1
14974,6.09,12.98,Indifferenciated Tuffs,6
14974,12.98,23.86,Intermediate to Ultramafic Volcanics,5
14974,23.86,28.95,Early Diorite,2
14974,28.95,35.5,Intermediate to Ultramafic Volcanics,5
14974,35.5,54.71,Intermediate to Ultramafic Volcanics,5
14974,54.71,69.03,Early Diorite,2
14974,69.03,79.61,Intermediate to Ultramafic Volcanics,5
