KT3D ESTIMATES WITH:  Clustered 140 primary and secondary data                  
 2.4507900      .58295390    
 2.1820610      .61054400    
 1.7605300      .59542360    
 1.4967770      .55005390    
 1.5581460      .50777610    
 1.1819850      .55174020    
 .97757640      .60112010    
 .76016020      .59974440    
 .66284290      .55241320    
 .57216660      .48519820    
 .48532940      .45477970    
 .54569350      .50835410    
 .65933180      .57206620    
 .76298820      .60540840    
 .92376650      .60238310    
 1.0062160      .56773130    
 1.0829580      .53418760    
 1.1342050      .54474440    
 1.1508050      .60695090    
 1.1612410      .68407480    
 1.2072430      .74740680    
 1.2370440      .77438360    
 1.3488720      .76086760    
 1.4523670      .70886510    
 1.6418480      .63630140    
 1.7238310      .56774190    
 1.7527270      .52064110    
 1.7807240      .48814130    
 1.8362140      .48803390    
 1.9018030      .57899500    
 1.9627080      .70222370    
 2.0350240      .80836400    
 7.2423440      .52216360    
 6.7022820      .40613830    
 8.7100000      .00000000    
 6.0985130      .40613830    
 4.4253990      .48175620    
 3.3416250      .53457560    
 2.3604250      .52962820    
 1.4349860      .49088470    
 .97318380      .53034280    
 .95501420      .56836030    
 .97579590      .56322820    
 1.3437610      .53078800    
 2.2619000      .48922530    
 3.1818560      .45478460    
 4.2166740      .46300560    
 4.8138870      .43284120    
 2.9900000      .00000000    
 3.7782790      .41338440    
 3.2135470      .49278390    
 2.7401140      .56134560    
 2.0322040      .59744780    
 1.5962790      .60629050    
 1.7171360      .60393970    
 1.2282170      .61765350    
 .77481260      .62275150    
 .68875170      .59116220    
 .45260420      .52054530    
 .41561450      .45860600    
 .38946820      .48485460    
 .44968270      .54678620    
 .54396560      .59653280    
 .64643990      .61519630    
 .83572590      .59084800    
 .93971430      .53011230    
 1.0367060      .48288520    
 1.1113100      .53240570    
 1.1388390      .62062320    
 1.2044810      .70244910    
 1.1870010      .76091410    
 1.1854940      .79022590    
 1.2883470      .78299300    
 1.3695850      .74642750    
 1.3960680      .68122590    
 1.4711830      .59899460    
 1.4444550      .50389380    
 1.4478290      .41364670    
 1.6600000      .00000000    
 1.7327420      .51659410    
 1.8319470      .67148880    
 1.9127580      .79076500    
 6.1779070      .49928650    
 5.5400000      .00000000    
 10.270000      .00000000    
 3.6100000      .00000000    
 3.7517470      .46070560    
 2.8688700      .54427120    
 2.1023480      .56761040    
 1.4095810      .56975560    
 1.0403760      .57499490    
 .80896740      .56413840    
 .84623270      .51926790    
 1.7527260      .47097330    
 2.9488010      .48616300    
 4.3813380      .50554810    
 5.9585740      .49550370    
 7.3996010      .43721010    
 7.6352780      .36034150    
 2.9600000      .00000000    
 4.2132100      .40566560    
 3.0835450      .50784130    
 2.2914580      .59039990    
 1.7021190      .63680180    
 1.7462350      .64978270    
 1.2189120      .65396960    
 .81784810      .64028680    
 .60710590      .59132640    
 .36438010      .49599500    
 .89999910E-01  .00000000    
 .31451650      .48041410    
 .40048540      .55980060    
 .47648970      .59879270    
 .58191610      .60114570    
 .76277490      .56824910    
 .87639270      .48855350    
 .99000000      .00000000    
 1.0618740      .50634400    
 1.0738830      .62158050    
 1.1581710      .70304350    
 1.1239710      .75304140    
 1.1099570      .77697340    
 1.1488520      .77873470    
 1.2013620      .75594220    
 1.2431480      .70455780    
 1.2448260      .61796090    
 1.1647780      .49661380    
 .62000000      .00000000    
 1.3456020      .43171420    
 1.5630100      .55394260    
 1.7088770      .68741850    
 1.8350640      .79818490    
 5.0153990      .55131830    
 4.8802550      .42193900    
 2.7400000      .00000000    
 4.0020760      .41031200    
 3.3038760      .50218590    
 2.5414750      .56955830    
 1.8546910      .59363350    
 1.3266790      .59533210    
 1.0242300      .58766650    
 .48878800      .55725510    
 1.1535940      .48236410    
 1.1100000      .00000000    
 3.3731200      .47755030    
 5.2501570      .54046330    
 7.1911310      .53094180    
 9.4266190      .45152090    
 19.440000      .00000000    
 9.0800000      .00000000    
 4.9200000      .00000000    
 3.4484270      .47570300    
 2.4684710      .58353970    
 1.7575390      .63949630    
 1.6591160      .65295640    
 1.1577060      .65135690    
 .74692630      .63904270    
 .52939940      .60523750    
 .32326160      .54796030    
 .30103210      .50098760    
 .31384130      .53380260    
 .36691250      .57362260    
 .44877490      .57787340    
 .54624400      .56377980    
 .68941390      .54863380    
 .80684900      .51801030    
 .88313190      .49663190    
 .95168550      .55647180    
 .97628770      .63446540    
 .98464010      .69205050    
 1.0096700      .71841590    
 .96047970      .73206070    
 .99120570      .74101600    
 1.0386360      .73852770    
 1.0771600      .71198590    
 1.0888730      .65314300    
 1.0550520      .56876700    
 1.0648410      .50800150    
 1.2439160      .54832790    
 1.4948080      .63743200    
 1.6867630      .73748090    
 1.8325760      .82771700    
 3.9894290      .64247380    
 3.8193420      .54758680    
 3.6820530      .49318080    
 3.3179350      .52071980    
 2.7171890      .56891990    
 2.1881230      .59132960    
 1.6366910      .58386770    
 1.1948930      .56848280    
 .95540140      .56235020    
 .67157100      .54834440    
 1.3180920      .51210180    
 2.2172250      .48602580    
 3.2981290      .53144440    
 5.3743550      .58969120    
 7.3183220      .58855180    
 8.8516690      .51745210    
 9.1947220      .41887230    
 2.9700000      .00000000    
 4.6449340      .40526290    
 3.4148050      .50438380    
 2.4329780      .59119810    
 1.5294880      .61795770    
 1.5149330      .61520580    
 1.0201160      .60514490    
 .68006410      .61184170    
 .48641300      .62086260    
 .31725590      .61405900    
 .36290860      .60099410    
 .33624680      .59908740    
 .36886200      .58378920    
 .43636570      .53330990    
 .53463090      .48715230    
 .64149370      .51804290    
 .73655780      .55877570    
 .83669270      .58676050    
 .87499680      .62308240    
 .77880640      .65887800    
 .79646030      .66762660    
 .78277730      .65569990    
 .73674520      .64968570    
 .79061580      .67274990    
 .82631910      .70291550    
 .87193120      .71252840    
 .91543420      .69370220    
 .96446220      .65940210    
 1.0949330      .63877640    
 1.2670850      .66374540    
 1.4669660      .72309570    
 1.6643340      .79532980    
 1.8183510      .86500790    
 3.1911300      .73554070    
 3.0901260      .66906480    
 2.8936470      .62716590    
 2.6689000      .61745970    
 2.4699190      .61870960    
 2.1172430      .59696330    
 1.5600800      .53665860    
 1.1338970      .48425820    
 .83124720      .49716630    
 .78181680      .51751270    
 1.2200140      .53467490    
 1.9692770      .55731900    
 3.0518280      .59088050    
 4.5597000      .61484500    
 5.9053750      .61271940    
 6.7012550      .56946900    
 6.8051930      .50822810    
 5.3681760      .46092250    
 4.3104190      .48778370    
 3.2276170      .53648170    
 2.3100450      .57827820    
 1.3835950      .58273030    
 1.3161890      .54425380    
 .82945950      .50731080    
 .52376400      .55464370    
 .43802600      .61657360    
 .39547930      .64947330    
 .43670390      .65637850    
 .41350670      .64209470    
 .43767670      .59546570    
 .46647480      .50087390    
 .22000000      .00000000    
 .62694280      .49762790    
 .72603150      .59089390    
 .78992140      .64204450    
 .79159460      .66673580    
 .67994050      .66761970    
 .62457320      .63142280    
 .56159910      .56647590    
 .53372050      .52210500    
 .53944390      .57640530    
 .61461850      .65267080    
 .70562820      .70059980    
 .74196410      .71571900    
 .94142200      .71487660    
 1.0893760      .71788630    
 1.2686150      .74163720    
 1.4593240      .78642690    
 1.6394530      .84160110    
 1.7988330      .89676680    
 2.6071710      .80407910    
 2.5861900      .75236980    
 2.4377260      .70939220    
 2.2579840      .67714770    
 2.2002770      .64481930    
 1.8724170      .58913010    
 1.4901200      .49248000    
 1.0100000      .00000000    
 .83429010      .42660970    
 .63132100      .45222870    
 .96322640      .51165290    
 1.6692490      .57564840    
 2.4664660      .61414560    
 3.6663940      .62686790    
 4.4791980      .62220470    
 4.9876440      .60079490    
 5.2593020      .57201730    
 4.5091680      .54078020    
 3.4351490      .52971080    
 2.9755020      .53656210    
 2.1275720      .55504390    
 1.2781620      .55267260    
 1.1650300      .49028700    
 .16000010      .00000000    
 .40291700      .51097760    
 .33066360      .61344120    
 .26678900      .66789640    
 .31449580      .68385260    
 .35995050      .66499040    
 .40406050      .61705200    
 .70958050      .54563860    
 .70271750      .50202670    
 .74864020      .55633920    
 .77152670      .63439270    
 .79293800      .68083290    
 .74712060      .69169220    
 .57854890      .66751690    
 .50070930      .59926850    
 .38152590      .49214770    
 .59999940E-01  .00000000    
 .33175850      .49668850    
 .44518080      .60485260    
 .52416680      .67602400    
 .65610250      .71345760    
 .89804590      .73034350    
 1.0693340      .74513910    
 1.2572310      .77223980    
 1.4488710      .81431280    
 1.6257830      .86427700    
 1.7839110      .91260320    
 2.1184520      .83603790    
 2.3130630      .79006690    
 2.0887180      .73917540    
 2.1963750      .69332100    
 1.9774760      .64428110    
 1.7909940      .58510600    
 1.4844160      .51422760    
 1.1238600      .45311820    
 .78682150      .42718380    
 .17000010      .00000000    
 .67449990      .48919600    
 1.1641240      .57540940    
 1.7351770      .60694810    
 2.3204750      .60179500    
 2.8739880      .58891110    
 4.0051460      .59623770    
 3.7899860      .58662400    
 3.5562800      .56067170    
 2.8533310      .51388030    
 2.3169580      .47869740    
 1.8052540      .51479080    
 1.1410840      .54393730    
 1.0887770      .52227030    
 .81238540      .49626550    
 .57662110      .55278870    
 .51581880      .62747900    
 .43518470      .67342790    
 .54556140      .68475020    
 .55302080      .66869470    
 .62360420      .62936750    
 .69399200      .59132150    
 .89241950      .58601740    
 .87817230      .62395270    
 .84246420      .67824500    
 .79076960      .71224980    
 .64105700      .70938210    
 .47124480      .65967070    
 .38271500      .57474090    
 .27831670      .48547090    
 .23667030      .43808060    
 .25688770      .48531900    
 .37400960      .57032650    
 .54229800      .64279440    
 .70756350      .68605970    
 .87831210      .70539560    
 1.0586820      .72215680    
 1.2491840      .75440820    
 1.4398430      .80295010    
 1.6134690      .85747950    
 1.8133260      .90682690    
 1.7012810      .82795880    
 1.9209520      .77676580    
 1.9164750      .71839520    
 2.0711990      .65532770    
 1.9558760      .60202760    
 1.7012860      .55920890    
 1.4846880      .53291830    
 1.1513050      .51955900    
 .81921680      .50164510    
 .58898140      .48987280    
 .52267770      .53975110    
 .76956300      .58784820    
 1.0986020      .58540090    
 1.4063930      .53952200    
 1.7339300      .49883940    
 2.2957400      .53626840    
 2.6209470      .57415360    
 2.5061460      .56409920    
 2.2801630      .49212420    
 2.1700000      .00000000    
 1.5476280      .48798880    
 1.5341960      .55651500    
 1.2178500      .57251450    
 1.1126150      .57508200    
 .97239080      .59984420    
 .79938410      .63206150    
 .67918830      .65451620    
 .75173320      .65857550    
 .75053600      .64203910    
 .79433870      .60550730    
 .89012210      .57964570    
 .86917980      .59721780    
 1.0062810      .64966720    
 .89516190      .70283500    
 .80857910      .72926180    
 .60409530      .71506740    
 .48645930      .64739800    
 .35860670      .54107450    
 .28865720      .44847940    
 .26402620      .42967160    
 .29020500      .44525910    
 .38616570      .52399680    
 .55288120      .60283550    
 .71815110      .64015070    
 .87734470      .64249350    
 1.0417270      .64672860    
 1.2190760      .68593420    
 1.3984500      .74994600    
 1.6089150      .81359210    
 1.7682620      .87250350    
 1.6813360      .77835770    
 1.7096710      .71563670    
 1.7959570      .64608110    
 1.9026960      .57882290    
 1.9094430      .51904080    
 1.8309280      .47815640    
 1.5027580      .50788840    
 1.1776630      .55075940    
 .88411080      .57502510    
 .68262730      .58925470    
 .68523250      .60705640    
 .56544130      .60545830    
 .62395680      .56746970    
 .62077210      .48317660    
 .33000000      .00000000    
 1.2501960      .49147800    
 1.4710530      .57353940    
 1.5353440      .59156550    
 1.7839020      .55318020    
 1.5816320      .51130700    
 1.9542230      .54521500    
 1.8425700      .58570570    
 1.4710680      .59666340    
 1.4372380      .59462300    
 1.3711760      .59784020    
 1.1401830      .59690120    
 1.0603930      .59466300    
 .97286360      .60135790    
 .96695170      .58858550    
 1.0072490      .53860840    
 1.0698260      .49826840    
 1.0000170      .55223790    
 1.0650320      .64022150    
 .98531500      .70732840    
 .79348860      .74261120    
 .67095300      .72268890    
 .57569900      .64725550    
 .42976110      .51621510    
 .10999990      .00000000    
 .30508010      .39844790    
 .99999900E-01  .00000000    
 .52054950      .48527010    
 .70626140      .57204700    
 .81647600      .59195320    
 .93829940      .55478190    
 1.0648560      .52154560    
 1.1940380      .58411480    
 1.3824720      .67435150    
